InventoryRecordID,ProductCode,WarehouseCode,OnHandQty,ReorderPoint,ReservedQty,AvailableQty,StockStatus,LastUpdatedAt,CreatedOn,CreatedByUser,ModifiedOn,ModifiedByUser
IN001,P0001,WH001,25,10,2,23,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN002,P0002,WH001,30,10,3,27, in stock ,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN003,P0003,WH001,12,10,1,11,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN004,P0004,WH002,40,10,4,36,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN005,P0005,WH001,18,10,1,17,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN006,P0006,WH002,22,10,2,20,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN007,P0007,WH001,16,10,1,15,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN008,P0008,WH001,20,10,2,18,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN009,P0009,WH001,35,10,3,32,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN010,P0010,WH001,10,10,1,9,Low Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN011,P0011,WH001,60,10,6,54,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN012,P0012,WH001,45,10,4,41,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN013,P0013,WH003,55,10,5,50,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN014,P0014,WH002,28,10,2,26,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN015,P0015,WH001,14,10,1,13,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN016,P0001,WH002,8,10,0,8,Low Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN017,P0004,WH003,12,10,1,11,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN018,P0009,WH003,7,10,0,7,Low Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
IN019,P0011,WH003,18,10,1,17,In Stock,2026-07-24 18:00:00,2026-07-01,admin,2026-07-24 18:00:00,admin
