MovementID,InventoryRecordID,MovementDate,MovementType,QuantityChange,ReferenceType,ReferenceID,CreatedOn,CreatedByUser,ModifiedOn,ModifiedByUser
INM001,IN001,2026-07-05,Purchase,20,Purchase Order,PO001,2026-07-05 12:00:00,admin,2026-07-05 13:00:00,admin
INM002,IN001,2026-07-08,Sale,-1,Sales Order,SO001,2026-07-08 12:00:00,admin,2026-07-08 13:00:00,admin
INM003,IN001,2026-07-12,Sale,-1,Sales Order,SO016,2026-07-12 12:00:00,admin,2026-07-12 13:00:00,admin
INM004,IN002,2026-07-06,Purchase,35,Purchase Order,PO002,2026-07-06 12:00:00,admin,2026-07-06 13:00:00,admin
INM005,IN002,2026-07-09,Sale,-1,Sales Order,SO002,2026-07-09 12:00:00,admin,2026-07-09 13:00:00,admin
INM006,IN003,2026-07-08,Purchase,15,Purchase Order,PO003,2026-07-08 12:00:00,admin,2026-07-08 13:00:00,admin
INM007,IN003,2026-07-09,Sale,-1,Sales Order,SO004,2026-07-09 12:00:00,admin,2026-07-09 13:00:00,admin
INM008,IN004,2026-07-07,Purchase,45,Purchase Order,PO004,2026-07-07 12:00:00,admin,2026-07-07 13:00:00,admin
INM009,IN004,2026-07-09,Sale,-1,Sales Order,SO003,2026-07-09 12:00:00,admin,2026-07-09 13:00:00,admin
INM010,IN005,2026-07-08,Purchase,20,Purchase Order,PO005,2026-07-08 12:00:00,admin,2026-07-08 13:00:00,admin
INM011,IN005,2026-07-11,Sale,-1,Sales Order,SO005,2026-07-11 12:00:00,admin,2026-07-11 13:00:00,admin
INM012,IN006,2026-07-09,Purchase,25,Purchase Order,PO006,2026-07-09 12:00:00,admin,2026-07-09 13:00:00,admin
INM013,IN007,2026-07-10,Purchase,20,Purchase Order,PO007,2026-07-10 12:00:00,admin,2026-07-10 13:00:00,admin
INM014,IN008,2026-07-11,Purchase,25,Purchase Order,PO008,2026-07-11 12:00:00,admin,2026-07-11 13:00:00,admin
INM015,IN009,2026-07-12,Purchase,40,Purchase Order,PO009,2026-07-12 12:00:00,admin,2026-07-12 13:00:00,admin
INM016,IN010,2026-07-13,Purchase,12,Purchase Order,PO010,2026-07-13 12:00:00,admin,2026-07-13 13:00:00,admin
INM017,IN011,2026-07-14,Purchase,65,Purchase Order,PO011,2026-07-14 12:00:00,admin,2026-07-14 13:00:00,admin
INM018,IN012,2026-07-14,Purchase,50,Purchase Order,PO012,2026-07-14 12:00:00,admin,2026-07-14 13:00:00,admin
INM019,IN013,2026-07-15,Purchase,60,Purchase Order,PO013,2026-07-15 12:00:00,admin,2026-07-15 13:00:00,admin
INM020,IN014,2026-07-15,Purchase,30,Purchase Order,PO014,2026-07-15 12:00:00,admin,2026-07-15 13:00:00,admin
INM021,IN015,2026-07-16,Purchase,15,Purchase Order,PO015,2026-07-16 12:00:00,admin,2026-07-16 13:00:00,admin
INM022,IN016,2026-07-16,Purchase,10,Purchase Order,PO016,2026-07-16 12:00:00,admin,2026-07-16 13:00:00,admin
INM023,IN017,2026-07-17,Return,1,Return,RE001,2026-07-17 12:00:00,admin,2026-07-17 13:00:00,admin
INM024,IN018,2026-07-18,Adjustment,-2,Adjustment,ADJ001,2026-07-18 12:00:00,admin,2026-07-18 13:00:00,admin
INM025,IN019,2026-07-19,Sale,-1,Sales Order,SO009,2026-07-19 12:00:00,admin,2026-07-19 13:00:00,admin
INM026,IN020,2026-07-20,Sale,-1,Sales Order,SO013,2026-07-20 12:00:00,admin,2026-07-20 13:00:00,admin
