SourceSystem,SourceOrderID,SourceLineID,SourceOrderIDInternal,ProductCode,Qty,UnitPrice,DiscountAmount,LineAmount,CreatedOn,CreatedByUser,ModifiedOn,ModifiedByUser
Shopify,SHOPIFY-SO001,SOI001,SO001,P0001,1,2499,0,2499,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO002,SOI002,SO002,P0002,1,2199,0,2199,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO003,SOI003,SO003,P0004,1,1399,0,1399,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO004,SOI004,SO004,P0003,1,3899,0,3899,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO005,SOI005,SO005,P0005,1,2999,0,2999,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO006,SOI006,SO006,P0009,1,699,0,699,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO007,SOI007,SO007,P0008,1,2899,0,2899,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO001,SOI021,SO001,P0011,2,399,99,699,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO004,SOI022,SO004,P0011,1,399,0,399,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO005,SOI023,SO005,P0012,1,449,0,449,2026-07-01,admin,2026-07-24,admin
Shopify,SHOPIFY-SO007,SOI024,SO007,P0013,2,179,0,358,2026-07-01,admin,2026-07-24,admin
